INSERT INTO marks (assessment_id, reg_num, marked_obtained, status) VALUES
(1, 'TG-2023-0001', 44.88, 'Present'),
(1, 'TG-2023-0002', 5.0, 'Present'),
(1, 'TG-2023-0003', 68.56, 'Present'),
(1, 'TG-2023-0004', 0.0, 'Absent'),
(1, 'TG-2023-0005', 75.55, 'Present'),
(1, 'TG-2023-0006', 99.97, 'Present'),
(1, 'TG-2023-0007', 90.47, 'Present'),
(1, 'TG-2023-0008', 53.59, 'Present'),
(1, 'TG-2023-0009', 92.34, 'Present'),
(1, 'TG-2023-0010', 59.56, 'Present'),
(2, 'TG-2023-0001', 73.45, 'Present'),
(2, 'TG-2023-0002', 4.0, 'Present'),
(2, 'TG-2023-0003', 56.01, 'Present'),
(2, 'TG-2023-0004', 0.0, 'Absent'),
(2, 'TG-2023-0005', 43.69, 'Present'),
(2, 'TG-2023-0006', 95.21, 'Present'),
(2, 'TG-2023-0007', 70.67, 'Present'),
(2, 'TG-2023-0008', 42.09, 'Present'),
(2, 'TG-2023-0009', 93.92, 'Present'),
(2, 'TG-2023-0010', 61.23, 'Present'),
(3, 'TG-2023-0001', 64.54, 'Present'),
(3, 'TG-2023-0002', 10.0, 'Present'),
(3, 'TG-2023-0003', 0.0, 'Absent'),
(3, 'TG-2023-0004', 0.0, 'Absent'),
(3, 'TG-2023-0005', 81.79, 'Present'),
(3, 'TG-2023-0006', 82.38, 'Present'),
(3, 'TG-2023-0007', 48.9, 'Present'),
(3, 'TG-2023-0008', 64.26, 'Present'),
(3, 'TG-2023-0009', 66.09, 'Present'),
(3, 'TG-2023-0010', 49.19, 'Present'),
(4, 'TG-2023-0001', 83.78, 'Present'),
(4, 'TG-2023-0002', 20.0, 'Present'),
(4, 'TG-2023-0003', 62.01, 'Present'),
(4, 'TG-2023-0004', 0.0, 'Absent'),
(4, 'TG-2023-0005', 55.88, 'Present'),
(4, 'TG-2023-0006', 92.5, 'Present'),
(4, 'TG-2023-0007', 72.83, 'Present'),
(4, 'TG-2023-0008', 67.25, 'Present'),
(4, 'TG-2023-0009', 44.83, 'Present'),
(4, 'TG-2023-0010', 75.74, 'Present'),
(5, 'TG-2023-0001', 99.04, 'Present'),
(5, 'TG-2023-0002', 15.0, 'Present'),
(5, 'TG-2023-0003', 87.28, 'Present'),
(5, 'TG-2023-0004', 0.0, 'Absent'),
(5, 'TG-2023-0005', 62.9, 'Present'),
(5, 'TG-2023-0006', 67.46, 'Present'),
(5, 'TG-2023-0007', 78.04, 'Present'),
(5, 'TG-2023-0008', 45.79, 'Present'),
(5, 'TG-2023-0009', 40.26, 'Present'),
(5, 'TG-2023-0010', 85.44, 'Present'),
(6, 'TG-2023-0001', 85.54, 'Present'),
(6, 'TG-2023-0002', 35.0, 'Present'),
(6, 'TG-2023-0003', 0.0, 'Absent'),
(6, 'TG-2023-0004', 86.65, 'Present'),
(6, 'TG-2023-0005', 84.48, 'Present'),
(6, 'TG-2023-0006', 42.81, 'Present'),
(6, 'TG-2023-0007', 97.21, 'Present'),
(6, 'TG-2023-0008', 0.0, 'Absent'),
(6, 'TG-2023-0009', 78.77, 'Present'),
(6, 'TG-2023-0010', 0.0, 'Absent'),
(7, 'TG-2023-0001', 83.46, 'Present'),
(7, 'TG-2023-0002', 12.0, 'Present'),
(7, 'TG-2023-0003', 0.0, 'Absent'),
(7, 'TG-2023-0004', 0.0, 'Absent'),
(7, 'TG-2023-0005', 81.09, 'Present'),
(7, 'TG-2023-0006', 62.25, 'Present'),
(7, 'TG-2023-0007', 0.0, 'Absent'),
(7, 'TG-2023-0008', 63.27, 'Present'),
(7, 'TG-2023-0009', 93.04, 'Present'),
(7, 'TG-2023-0010', 81.85, 'Present'),
(8, 'TG-2023-0001', 0.0, 'Absent'),
(8, 'TG-2023-0002', 52.6, 'Present'),
(8, 'TG-2023-0003', 62.15, 'Present'),
(8, 'TG-2023-0004', 0.0, 'Absent'),
(8, 'TG-2023-0005', 82.61, 'Present'),
(8, 'TG-2023-0006', 87.4, 'Present'),
(8, 'TG-2023-0007', 85.39, 'Present'),
(8, 'TG-2023-0008', 40.96, 'Present'),
(8, 'TG-2023-0009', 87.7, 'Present'),
(8, 'TG-2023-0010', 81.12, 'Present'),
(9, 'TG-2023-0001', 87.09, 'Present'),
(9, 'TG-2023-0002', 0.0, 'Absent'),
(9, 'TG-2023-0003', 96.82, 'Present'),
(9, 'TG-2023-0004', 0.0, 'Absent'),
(9, 'TG-2023-0005', 50.69, 'Present'),
(9, 'TG-2023-0006', 47.47, 'Present'),
(9, 'TG-2023-0007', 41.64, 'Present'),
(9, 'TG-2023-0008', 79.89, 'Present'),
(9, 'TG-2023-0009', 55.39, 'Present'),
(9, 'TG-2023-0010', 49.25, 'Present'),
(10, 'TG-2023-0001', 70.85, 'Present'),
(10, 'TG-2023-0002', 97.59, 'Present'),
(10, 'TG-2023-0003', 78.09, 'Present'),
(10, 'TG-2023-0004', 0.0, 'Absent'),
(10, 'TG-2023-0005', 92.83, 'Present'),
(10, 'TG-2023-0006', 88.28, 'Present'),
(10, 'TG-2023-0007', 0.0, 'Absent'),
(10, 'TG-2023-0008', 79.99, 'Present'),
(10, 'TG-2023-0009', 53.8, 'Present'),
(10, 'TG-2023-0010', 43.85, 'Present'),
(11, 'TG-2023-0001', 78.88, 'Present'),
(11, 'TG-2023-0002', 54.75, 'Present'),
(11, 'TG-2023-0003', 66.26, 'Present'),
(11, 'TG-2023-0004', 0.0, 'Absent'),
(11, 'TG-2023-0005', 70.44, 'Present'),
(11, 'TG-2023-0006', 51.15, 'Present'),
(11, 'TG-2023-0007', 58.23, 'Present'),
(11, 'TG-2023-0008', 70.83, 'Present'),
(11, 'TG-2023-0009', 91.54, 'Present'),
(11, 'TG-2023-0010', 43.96, 'Present'),
(12, 'TG-2023-0001', 43.08, 'Present'),
(12, 'TG-2023-0002', 47.79, 'Present'),
(12, 'TG-2023-0003', 90.16, 'Present'),
(12, 'TG-2023-0004', 0.0, 'Absent'),
(12, 'TG-2023-0005', 43.56, 'Present'),
(12, 'TG-2023-0006', 51.32, 'Present'),
(12, 'TG-2023-0007', 85.57, 'Present'),
(12, 'TG-2023-0008', 79.71, 'Present'),
(12, 'TG-2023-0009', 47.54, 'Present'),
(12, 'TG-2023-0010', 71.2, 'Present'),
(13, 'TG-2023-0001', 57.21, 'Present'),
(13, 'TG-2023-0002', 59.84, 'Present'),
(13, 'TG-2023-0003', 0.0, 'Absent'),
(13, 'TG-2023-0004', 0.0, 'Absent'),
(13, 'TG-2023-0005', 0.0, 'Absent'),
(13, 'TG-2023-0006', 83.47, 'Present'),
(13, 'TG-2023-0007', 93.07, 'Present'),
(13, 'TG-2023-0008', 44.06, 'Present'),
(13, 'TG-2023-0009', 96.73, 'Present'),
(13, 'TG-2023-0010', 62.0, 'Present'),
(14, 'TG-2023-0001', 54.3, 'Present'),
(14, 'TG-2023-0002', 60.03, 'Present'),
(14, 'TG-2023-0003', 74.82, 'Present'),
(14, 'TG-2023-0004', 0.0, 'Absent'),
(14, 'TG-2023-0005', 92.75, 'Present'),
(14, 'TG-2023-0006', 45.99, 'Present'),
(14, 'TG-2023-0007', 65.49, 'Present'),
(14, 'TG-2023-0008', 0.0, 'Absent'),
(14, 'TG-2023-0009', 61.72, 'Present'),
(14, 'TG-2023-0010', 0.0, 'Absent'),
(15, 'TG-2023-0001', 65.79, 'Present'),
(15, 'TG-2023-0002', 75.89, 'Present'),
(15, 'TG-2023-0003', 42.02, 'Present'),
(15, 'TG-2023-0004', 0.0, 'Absent'),
(15, 'TG-2023-0005', 61.48, 'Present'),
(15, 'TG-2023-0006', 94.35, 'Present'),
(15, 'TG-2023-0007', 66.31, 'Present'),
(15, 'TG-2023-0008', 65.2, 'Present'),
(15, 'TG-2023-0009', 0.0, 'Absent'),
(15, 'TG-2023-0010', 79.06, 'Present'),
(16, 'TG-2023-0001', 92.27, 'Present'),
(16, 'TG-2023-0002', 73.36, 'Present'),
(16, 'TG-2023-0003', 79.67, 'Present'),
(16, 'TG-2023-0004', 0.0, 'Absent'),
(16, 'TG-2023-0005', 74.98, 'Present'),
(16, 'TG-2023-0006', 67.76, 'Present'),
(16, 'TG-2023-0007', 81.34, 'Present'),
(16, 'TG-2023-0008', 85.66, 'Present'),
(16, 'TG-2023-0009', 44.21, 'Present'),
(16, 'TG-2023-0010', 56.68, 'Present'),
(17, 'TG-2023-0001', 43.89, 'Present'),
(17, 'TG-2023-0002', 41.85, 'Present'),
(17, 'TG-2023-0003', 63.13, 'Present'),
(17, 'TG-2023-0004', 0.0, 'Absent'),
(17, 'TG-2023-0005', 95.96, 'Present'),
(17, 'TG-2023-0006', 0.0, 'Absent'),
(17, 'TG-2023-0007', 44.99, 'Present'),
(17, 'TG-2023-0008', 46.58, 'Present'),
(17, 'TG-2023-0009', 43.7, 'Present'),
(17, 'TG-2023-0010', 55.62, 'Present'),
(18, 'TG-2023-0001', 55.55, 'Present'),
(18, 'TG-2023-0002', 0.0, 'Absent'),
(18, 'TG-2023-0003', 52.86, 'Present'),
(18, 'TG-2023-0004', 0.0, 'Absent'),
(18, 'TG-2023-0005', 63.71, 'Present'),
(18, 'TG-2023-0006', 74.98, 'Present'),
(18, 'TG-2023-0007', 88.65, 'Present'),
(18, 'TG-2023-0008', 99.43, 'Present'),
(18, 'TG-2023-0009', 81.37, 'Present'),
(18, 'TG-2023-0010', 75.34, 'Present'),
(19, 'TG-2023-0001', 82.1, 'Present'),
(19, 'TG-2023-0002', 67.5, 'Present'),
(19, 'TG-2023-0003', 65.84, 'Present'),
(19, 'TG-2023-0004', 0.0, 'Absent'),
(19, 'TG-2023-0005', 76.22, 'Present'),
(19, 'TG-2023-0006', 75.63, 'Present'),
(19, 'TG-2023-0007', 86.37, 'Present'),
(19, 'TG-2023-0008', 52.52, 'Present'),
(19, 'TG-2023-0009', 87.95, 'Present'),
(19, 'TG-2023-0010', 82.21, 'Present'),
(20, 'TG-2023-0001', 51.21, 'Present'),
(20, 'TG-2023-0002', 96.96, 'Present'),
(20, 'TG-2023-0003', 0.0, 'Absent'),
(20, 'TG-2023-0004', 0.0, 'Absent'),
(20, 'TG-2023-0005', 40.61, 'Present'),
(20, 'TG-2023-0006', 0.0, 'Absent'),
(20, 'TG-2023-0007', 69.89, 'Present'),
(20, 'TG-2023-0008', 86.28, 'Present'),
(20, 'TG-2023-0009', 80.92, 'Present'),
(20, 'TG-2023-0010', 0.0, 'Absent'),
(21, 'TG-2023-0001', 73.53, 'Present'),
(21, 'TG-2023-0002', 0.0, 'Absent'),
(21, 'TG-2023-0003', 41.88, 'Present'),
(21, 'TG-2023-0004', 0.0, 'Absent'),
(21, 'TG-2023-0005', 82.45, 'Present'),
(21, 'TG-2023-0006', 97.4, 'Present'),
(21, 'TG-2023-0007', 93.23, 'Present'),
(21, 'TG-2023-0008', 68.44, 'Present'),
(21, 'TG-2023-0009', 70.36, 'Present'),
(21, 'TG-2023-0010', 98.66, 'Present'),
(22, 'TG-2023-0001', 84.19, 'Present'),
(22, 'TG-2023-0002', 73.1, 'Present'),
(22, 'TG-2023-0003', 89.11, 'Present'),
(22, 'TG-2023-0004', 70.15, 'Present'),
(22, 'TG-2023-0005', 67.03, 'Present'),
(22, 'TG-2023-0006', 61.78, 'Present'),
(22, 'TG-2023-0007', 70.86, 'Present'),
(22, 'TG-2023-0008', 0.0, 'Absent'),
(22, 'TG-2023-0009', 94.37, 'Present'),
(22, 'TG-2023-0010', 93.46, 'Present'),
(23, 'TG-2023-0001', 0.0, 'Absent'),
(23, 'TG-2023-0002', 95.38, 'Present'),
(23, 'TG-2023-0003', 85.81, 'Present'),
(23, 'TG-2023-0004', 0.0, 'Absent'),
(23, 'TG-2023-0005', 71.95, 'Present'),
(23, 'TG-2023-0006', 62.54, 'Present'),
(23, 'TG-2023-0007', 52.8, 'Present'),
(23, 'TG-2023-0008', 77.61, 'Present'),
(23, 'TG-2023-0009', 60.26, 'Present'),
(23, 'TG-2023-0010', 82.75, 'Present'),
(24, 'TG-2023-0001', 54.21, 'Present'),
(24, 'TG-2023-0002', 80.74, 'Present'),
(24, 'TG-2023-0003', 55.49, 'Present'),
(24, 'TG-2023-0004', 0.0, 'Absent'),
(24, 'TG-2023-0005', 46.05, 'Present'),
(24, 'TG-2023-0006', 45.58, 'Present'),
(24, 'TG-2023-0007', 85.08, 'Present'),
(24, 'TG-2023-0008', 74.71, 'Present'),
(24, 'TG-2023-0009', 96.9, 'Present'),
(24, 'TG-2023-0010', 43.84, 'Present'),
(25, 'TG-2023-0001', 0.0, 'Absent'),
(25, 'TG-2023-0002', 44.3, 'Present'),
(25, 'TG-2023-0003', 79.93, 'Present'),
(25, 'TG-2023-0004', 0.0, 'Absent'),
(25, 'TG-2023-0005', 68.7, 'Present'),
(25, 'TG-2023-0006', 0.0, 'Absent'),
(25, 'TG-2023-0007', 54.36, 'Present'),
(25, 'TG-2023-0008', 95.15, 'Present'),
(25, 'TG-2023-0009', 0.0, 'Absent'),
(25, 'TG-2023-0010', 97.21, 'Present'),
(26, 'TG-2023-0001', 87.23, 'Present'),
(26, 'TG-2023-0002', 46.71, 'Present'),
(26, 'TG-2023-0003', 68.95, 'Present'),
(26, 'TG-2023-0004', 88.89, 'Present'),
(26, 'TG-2023-0005', 77.58, 'Present'),
(26, 'TG-2023-0006', 56.56, 'Present'),
(26, 'TG-2023-0007', 92.49, 'Present'),
(26, 'TG-2023-0008', 96.34, 'Present'),
(26, 'TG-2023-0009', 89.87, 'Present'),
(26, 'TG-2023-0010', 93.62, 'Present'),
(27, 'TG-2023-0001', 0.0, 'Absent'),
(27, 'TG-2023-0002', 51.77, 'Present'),
(27, 'TG-2023-0003', 0.0, 'Absent'),
(27, 'TG-2023-0004', 97.88, 'Present'),
(27, 'TG-2023-0005', 61.85, 'Present'),
(27, 'TG-2023-0006', 95.61, 'Present'),
(27, 'TG-2023-0007', 0.0, 'Absent'),
(27, 'TG-2023-0008', 52.26, 'Present'),
(27, 'TG-2023-0009', 79.87, 'Present'),
(27, 'TG-2023-0010', 86.04, 'Present'),
(28, 'TG-2023-0001', 58.05, 'Present'),
(28, 'TG-2023-0002', 0.0, 'Absent'),
(28, 'TG-2023-0003', 53.68, 'Present'),
(28, 'TG-2023-0004', 66.53, 'Present'),
(28, 'TG-2023-0005', 75.07, 'Present'),
(28, 'TG-2023-0006', 0.0, 'Absent'),
(28, 'TG-2023-0007', 79.57, 'Present'),
(28, 'TG-2023-0008', 94.47, 'Present'),
(28, 'TG-2023-0009', 62.22, 'Present'),
(28, 'TG-2023-0010', 0.0, 'Absent'),
(29, 'TG-2023-0001', 76.0, 'Present'),
(29, 'TG-2023-0002', 69.9, 'Present'),
(29, 'TG-2023-0003', 52.64, 'Present'),
(29, 'TG-2023-0004', 66.93, 'Present'),
(29, 'TG-2023-0005', 45.84, 'Present'),
(29, 'TG-2023-0006', 59.54, 'Present'),
(29, 'TG-2023-0007', 94.6, 'Present'),
(29, 'TG-2023-0008', 57.44, 'Present'),
(29, 'TG-2023-0009', 44.14, 'Present'),
(29, 'TG-2023-0010', 40.96, 'Present'),
(30, 'TG-2023-0001', 62.07, 'Present'),
(30, 'TG-2023-0002', 79.9, 'Present'),
(30, 'TG-2023-0003', 72.67, 'Present'),
(30, 'TG-2023-0004', 91.23, 'Present'),
(30, 'TG-2023-0005', 45.02, 'Present'),
(30, 'TG-2023-0006', 61.55, 'Present'),
(30, 'TG-2023-0007', 46.02, 'Present'),
(30, 'TG-2023-0008', 90.86, 'Present'),
(30, 'TG-2023-0009', 86.68, 'Present'),
(30, 'TG-2023-0010', 40.6, 'Present'),
(31, 'TG-2023-0001', 0.0, 'Absent'),
(31, 'TG-2023-0002', 0.0, 'Absent'),
(31, 'TG-2023-0003', 92.45, 'Present'),
(31, 'TG-2023-0004', 42.02, 'Present'),
(31, 'TG-2023-0005', 62.92, 'Present'),
(31, 'TG-2023-0006', 70.23, 'Present'),
(31, 'TG-2023-0007', 75.42, 'Present'),
(31, 'TG-2023-0008', 66.51, 'Present'),
(31, 'TG-2023-0009', 93.57, 'Present'),
(31, 'TG-2023-0010', 92.12, 'Present'),
(32, 'TG-2023-0001', 62.63, 'Present'),
(32, 'TG-2023-0002', 80.39, 'Present'),
(32, 'TG-2023-0003', 75.8, 'Present'),
(32, 'TG-2023-0004', 47.72, 'Present'),
(32, 'TG-2023-0005', 0.0, 'Absent'),
(32, 'TG-2023-0006', 63.51, 'Present'),
(32, 'TG-2023-0007', 62.14, 'Present'),
(32, 'TG-2023-0008', 60.89, 'Present'),
(32, 'TG-2023-0009', 60.46, 'Present'),
(32, 'TG-2023-0010', 87.45, 'Present'),
(33, 'TG-2023-0001', 50.94, 'Present'),
(33, 'TG-2023-0002', 45.81, 'Present'),
(33, 'TG-2023-0003', 91.31, 'Present'),
(33, 'TG-2023-0004', 52.14, 'Present'),
(33, 'TG-2023-0005', 0.0, 'Absent'),
(33, 'TG-2023-0006', 93.19, 'Present'),
(33, 'TG-2023-0007', 69.55, 'Present'),
(33, 'TG-2023-0008', 41.95, 'Present'),
(33, 'TG-2023-0009', 81.8, 'Present'),
(33, 'TG-2023-0010', 89.42, 'Present'),
(34, 'TG-2023-0001', 46.38, 'Present'),
(34, 'TG-2023-0002', 44.98, 'Present'),
(34, 'TG-2023-0003', 91.17, 'Present'),
(34, 'TG-2023-0004', 80.0, 'Present'),
(34, 'TG-2023-0005', 70.64, 'Present'),
(34, 'TG-2023-0006', 0.0, 'Absent'),
(34, 'TG-2023-0007', 83.32, 'Present'),
(34, 'TG-2023-0008', 62.96, 'Present'),
(34, 'TG-2023-0009', 61.36, 'Present'),
(34, 'TG-2023-0010', 47.86, 'Present'),
(35, 'TG-2023-0001', 48.16, 'Present'),
(35, 'TG-2023-0002', 0.0, 'Absent'),
(35, 'TG-2023-0003', 48.35, 'Present'),
(35, 'TG-2023-0004', 44.42, 'Present'),
(35, 'TG-2023-0005', 47.95, 'Present'),
(35, 'TG-2023-0006', 64.73, 'Present'),
(35, 'TG-2023-0007', 56.3, 'Present'),
(35, 'TG-2023-0008', 56.19, 'Present'),
(35, 'TG-2023-0009', 57.34, 'Present'),
(35, 'TG-2023-0010', 93.42, 'Present'),
(36, 'TG-2023-0001', 82.11, 'Present'),
(36, 'TG-2023-0002', 0.0, 'Absent'),
(36, 'TG-2023-0003', 56.82, 'Present'),
(36, 'TG-2023-0004', 90.94, 'Present'),
(36, 'TG-2023-0005', 88.15, 'Present'),
(36, 'TG-2023-0006', 92.21, 'Present'),
(36, 'TG-2023-0007', 55.93, 'Present'),
(36, 'TG-2023-0008', 97.91, 'Present'),
(36, 'TG-2023-0009', 55.32, 'Present'),
(36, 'TG-2023-0010', 85.94, 'Present'),
(37, 'TG-2023-0001', 77.2, 'Present'),
(37, 'TG-2023-0002', 81.94, 'Present'),
(37, 'TG-2023-0003', 60.72, 'Present'),
(37, 'TG-2023-0004', 97.02, 'Present'),
(37, 'TG-2023-0005', 75.32, 'Present'),
(37, 'TG-2023-0006', 78.66, 'Present'),
(37, 'TG-2023-0007', 60.83, 'Present'),
(37, 'TG-2023-0008', 81.04, 'Present'),
(37, 'TG-2023-0009', 89.42, 'Present'),
(37, 'TG-2023-0010', 69.84, 'Present'),
(38, 'TG-2023-0001', 96.28, 'Present'),
(38, 'TG-2023-0002', 77.46, 'Present'),
(38, 'TG-2023-0003', 71.55, 'Present'),
(38, 'TG-2023-0004', 73.39, 'Present'),
(38, 'TG-2023-0005', 44.81, 'Present'),
(38, 'TG-2023-0006', 62.5, 'Present'),
(38, 'TG-2023-0007', 66.54, 'Present'),
(38, 'TG-2023-0008', 96.76, 'Present'),
(38, 'TG-2023-0009', 66.21, 'Present'),
(38, 'TG-2023-0010', 75.87, 'Present'),
(39, 'TG-2023-0001', 69.07, 'Present'),
(39, 'TG-2023-0002', 43.09, 'Present'),
(39, 'TG-2023-0003', 68.88, 'Present'),
(39, 'TG-2023-0004', 70.91, 'Present'),
(39, 'TG-2023-0005', 97.99, 'Present'),
(39, 'TG-2023-0006', 97.63, 'Present'),
(39, 'TG-2023-0007', 71.67, 'Present'),
(39, 'TG-2023-0008', 62.44, 'Present'),
(39, 'TG-2023-0009', 95.65, 'Present'),
(39, 'TG-2023-0010', 82.17, 'Present'),
(40, 'TG-2023-0001', 0.0, 'Absent'),
(40, 'TG-2023-0002', 55.5, 'Present'),
(40, 'TG-2023-0003', 59.99, 'Present'),
(40, 'TG-2023-0004', 72.5, 'Present'),
(40, 'TG-2023-0005', 61.62, 'Present'),
